167067,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171291,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173426,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189128,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189293,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189406,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189434,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210568,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213348,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214565,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215787,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227028,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227964,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229430,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230790,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232088,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232812,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234407,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240410,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241263,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244872,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244952,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246337,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247006,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247140,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248235,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252381,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256186,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257149,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257915,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261558,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262020,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263871,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267678,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268525,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268620,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268849,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277605,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280698,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283257,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284210,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286460,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289467,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297350,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300679,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304910,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307615,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307630,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309093,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310594,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313648,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315513,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317239,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317351,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323280,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331605,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334891,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344458,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353243,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357740,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361613,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363060,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363278,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365832,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366848,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376421,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
381690,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386252,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394600,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397285,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402105,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403580,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403876,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406997,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411059,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414093,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
415776,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
419490,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
432113,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
433779,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437892,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
438849,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
438899,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448006,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448017,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448041,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449585,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
453940,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
456950,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
458168,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
458182,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
464528,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
464612,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
466494,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
466732,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
467028,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
467125,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
475855,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
479281,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
479333,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
479472,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
479736,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
483719,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
488819,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
491993,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
492012,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
492071,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
496502,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501143,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
506491,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
508586,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
508590,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
508594,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
509326,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
513766,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
515607,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
519819,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
524247,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
524570,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
529300,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
529321,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
529339,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
531324,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
532347,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
535813,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
542188,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
546849,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
552797,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
554087,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
556080,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
557900,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
564734,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
565813,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
567486,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
567514,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
567941,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
571502,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
591772,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
592162,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
607674,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609602,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
614259,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
619328,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
619363,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
621155,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
624205,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
628156,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
628370,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
633258,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
633546,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
639260,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
641180,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
642782,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
644223,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
648169,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
651578,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
653384,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
653386,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656235,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
657209,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
661004,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
662482,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
662489,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
668738,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670329,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
671981,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
674843,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
690762,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
691140,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
691144,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
692656,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
693216,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
694376,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
712261,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
712598,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
724777,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
728162,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731330,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
739896,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
752666,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
754134,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
758097,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
762496,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
762695,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
768096,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
771720,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
780196,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
780441,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
784043,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
785116,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
788420,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
792570,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
802320,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
804841,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
806245,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
809366,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
817054,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
817310,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
817457,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
822054,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
822369,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
822382,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
827095,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
828906,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
834720,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
835521,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
835730,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
846825,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
847063,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
849118,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
850845,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
853643,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
856570,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
856573,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
861920,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
862000,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
862199,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
863143,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
865195,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
866134,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
867464,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
870066,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
870859,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
870879,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
872081,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
872297,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
872302,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
874165,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
875444,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
875913,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
881242,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
882704,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
887320,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
887782,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
890726,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
892787,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
895688,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
905969,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
906586,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
907354,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
908963,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
908981,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
911079,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
911167,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
911365,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
912966,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
913004,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
920179,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
921611,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
926682,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
928684,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
930037,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
932918,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
933044,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
936283,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
936302,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
938088,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
938326,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
941483,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
944235,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
947806,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
948081,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
952100,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
954106,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
956968,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
957284,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
958631,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
960498,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
964490,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
964548,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
966901,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
971698,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
978562,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
980716,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
982452,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
982577,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
984021,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
985644,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
985656,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
986403,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
988366,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990795,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
995402,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
997505,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
997517,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999067,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999115,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999305,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001457,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001739,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002094,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004260,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009526,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009543,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009577,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009764,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012462,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1019243,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1019387,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1019415,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1024812,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1040233,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1040236,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1046449,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1054730,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1057401,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1058005,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1061196,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1061439,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1064493,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1064503,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
